Ligne;Direction;Description;Séquence;Arrêt;Description;Distance Inter-Arrêts
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;24.0;BOSQQH_H;PAU Bosquet Quai H;313.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;19.0;CUNIVE_E;Cité Universitaire;260.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;26.0;BONAPA_2;Bonaparte;358.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;21.0;CITEAU_S;Cîteaux;374.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;27.0;PGDPQB_B;PAU Gare de Pau Quai B;392.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;25.0;CVERT_2;Chemin Vert;348.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;30.0;BARTHE_O;Barthe;233.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;26.0;GCHEN_N;Grands Chênes;351.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;31.0;CDPRIN_O;Croix du Prince;303.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;29.0;ADER_2;Ader;392.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;34.0;LPDGEL_2;Lycée des Métiers de l'Habitat;280.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;30.0;DAURAT_2;Daurat;370.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;35.0;LIBERT_2;Liberté;363.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;31.0;VDOR_2;Val d'Or;250.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;36.0;GAYET_2;Gayet;367.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;34.0;AYGUEL_2;Ayguelongue;700.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;38.0;MLEZON_S;Lezons;204.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;35.0;NNIEME_2;Normandie Niemen;430.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;39.0;BARTHO_2;Barthou;484.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;36.0;LDBEAR_2;Luy de Béarn;649.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;42.0;DGAULL_2;Gal De Gaulle;437.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;40.0;CRFORG_2;Collège R. Forgues;445.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;43.0;MLAR_1/2;MAZERES-LEZONS L'Arriou;572.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;41.0;PD4SAI_2;Pl. des 4 Saisons;516.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;5.0;SMAGNE_N;St Magne;155.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;1.0;SCLI_1/2;SERRES-CASTET Liben;0.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;10.0;EVII_1;Edouard VII;476.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;9.0;NNIEME_1;Normandie Niemen;523.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;20.0;HELIOP_2;Hélioparc;303.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;15.0;ADER_1;Ader;368.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;22.0;CDBOQH_H;Catherine de Bourbon Quai H;353.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;16.0;CAFPA_1;Centre AFPA;416.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;28.0;CAFPA_2;Centre AFPA;241.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;17.0;CADETS_1;Cadets;190.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;32.0;HIPPAU_2;Hippodrome;233.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;20.0;BOCAGE_1;Bocage;360.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;37.0;VDOSSA_2;Vallée d'Ossau;831.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;21.0;SBLANC_1;Stade Blanchard;256.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;38.0;DEVEZE_2;Devèzes;774.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;22.0;CDBOQG_G;Catherine de Bourbon Quai G;396.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;43.0;SCLI_1/2;SERRES-CASTET Liben;549.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;25.0;CUNIVE_O;Cité Universitaire;330.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;2.0;SDSCAS_1;Stade H. Marracq;610.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;26.0;FACULT_O;Facultés;300.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;3.0;PD4SAI_1;Pl. des 4 Saisons;470.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;27.0;CCLERM_O;Collège Clermont;480.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;5.0;LARLAS_1;Larlas;453.0
7;1.0;8 Mai 1945 > LESCAR Soleil;1.0;8M1945_2;8 Mai 1945;0.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;6.0;DEVEZE_1;Devèzes;361.0
7;1.0;8 Mai 1945 > LESCAR Soleil;4.0;MOUNYO_2;Mounyoye;843.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;12.0;HIPPAU_1;Hippodrome;1334.0
7;1.0;8 Mai 1945 > LESCAR Soleil;5.0;ASDF_1/2;ARTIGUELOUTAN Salle des Fêtes;406.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;13.0;VDOR_1;Val d'Or;226.0
7;1.0;8 Mai 1945 > LESCAR Soleil;8.0;CANAL_1;Canal;1013.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;18.0;GCHEN_S;Grands Chênes;255.0
7;1.0;8 Mai 1945 > LESCAR Soleil;9.0;MDOUSS_1;Mairie d'Ousse;537.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;19.0;CVERT_1;Chemin Vert;300.0
7;1.0;8 Mai 1945 > LESCAR Soleil;10.0;BARTH_1;Barthouil;725.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;24.0;HELIOP_1;Hélioparc;361.0
7;1.0;8 Mai 1945 > LESCAR Soleil;12.0;EDLEE_1;Ecole de Lée;891.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;28.0;REDANU_1;Rhin et Danube;251.0
7;1.0;8 Mai 1945 > LESCAR Soleil;15.0;CAMARD_1;Camardoun;276.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;29.0;ABREMO_1;Abbé Brémond;415.0
7;1.0;8 Mai 1945 > LESCAR Soleil;19.0;ARROUT_1;Arrouturous;525.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;31.0;F-HDES_1;Les Halles - Despourrins;345.0
