Ligne;Direction;Description;Séquence;Arrêt;Description;Distance Inter-Arrêts
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;26.0;FAISAN_2;Faisans;350.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;15.0;LASSAN_1;Lassansaa;263.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;1.0;ZENI_1/2;PAU Zénith;0.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;31.0;TREVIL_2;Tréville;316.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;21.0;CIMETI_1;Cimetière;340.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;11.0;ANGOT_N;Angot;397.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;34.0;SANSAR_2;Sansarricq;301.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;30.0;REGINA_2;Régina;302.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;12.0;TOUQUE_1;Touquet;156.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;37.0;BBSOLE_2;BIZANOS Beau Soleil;237.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;32.0;CDLARR_2;Castet de l'Array;581.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;13.0;PCIEL_1;Plein Ciel;241.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;38.0;SJEAN_2;St Jean;480.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;41.0;BELSUN_O;Belsunce;457.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;16.0;MOHED_1;Mohédan;453.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;39.0;ARROUT_2;Arrouturous;332.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;43.0;CAMARD_2;Camardoun;160.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;18.0;SJOSEP_O;St Joseph;269.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;40.0;IMAIRI_2;IDRON Mairie;600.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;44.0;SLOUIS_2;St Louis;348.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;19.0;PLAWRE_1;Parc Lawrance;283.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;42.0;PLACET_2;Placette;520.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;50.0;CANAL_2;Canal;467.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;20.0;PHOEBU_1;Gaston Phoebus;294.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;46.0;EDLEE_2;Ecole de Lée;751.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;52.0;SDARTI_2;Stade d'Artigueloutan;302.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;22.0;PDJUST_1;Palais de Justice;255.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;47.0;BICHES_2;Biches;908.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;53.0;8M1945_2;8 Mai 1945;362.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;25.0;F-BABE_2;Barthou - Beaumont;243.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;49.0;MDOUSS_2;Mairie d'Ousse;703.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;55.0;RUISSE_2;Ruisseau;140.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;28.0;MONNAI_N;Pl. de la Monnaie;461.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;10.0;LINIER_1;Linière;803.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;56.0;MOUNYO_2;Mounyoye;843.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;32.0;CONCOR_S;Concorde;211.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;11.0;PLAINE_1;Plaine;252.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;3.0;CCLESC_1;Induspal;249.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;33.0;PDCAPI_S;Pont du Capitaine;221.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;23.0;PDJUST_1;Palais de Justice;224.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;8.0;DGENNE_1;De Gennes;262.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;37.0;CCMAZE_S;Grand Sud;618.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;26.0;FAISAN_2;Faisans;350.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;9.0;ENTREP_1;Entrepreneurs;226.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;40.0;LAGUTS_2;Les Agûts;247.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;28.0;TRESPO_2;Trespoey;462.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;16.0;MARNIE_3;Marnières;176.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;4.0;BALAVO_N;Balavoine;386.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;30.0;REGINA_2;Régina;302.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;19.0;HUTTON_O;Hutton;205.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;7.0;BUISSO_E;Buisson;463.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;32.0;CDLARR_2;Castet de l'Array;581.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;24.0;GUICHE_1;Guichenné;349.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;11.0;FAISAN_1;Faisans;294.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;33.0;SAPINS_E;Sapins;448.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;31.0;TREVIL_2;Tréville;316.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;17.0;CCLERM_E;Collège Clermont;396.0
7;2.0;LESCAR Soleil > BIZANOS Beau Soleil;37.0;BBSOLE_2;BIZANOS Beau Soleil;237.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;3.0;CDIDRO_1;Château d'Idron;315.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;18.0;FACULT_E;Facultés;459.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;1.0;IMAI_1/2;IDRON Mairie;0.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;4.0;CBEAUM_1;Clos Beaumont;747.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;23.0;SBLANC_2;Stade Blanchard;373.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;2.0;BELSUN_O;Belsunce;516.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;10.0;LAVAND_1;Lavandières;304.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;24.0;BOCAGE_2;Bocage;262.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;5.0;HONDAI_1;Hondaïs;306.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;13.0;GINOT_1;Ginot;258.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;27.0;CADETS_2;Cadets;210.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;19.0;PHOEBU_2;Gaston Phoebus;262.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;15.0;BOSQQB_B;Pl. d'Espagne - Bosquet Quai B;445.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;33.0;DDSERS_2;Domaine de Sers;1371.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;21.0;PDEXPO_2;Parc des Expos;284.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;17.0;PDJUST_2;Palais de Justice;369.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;39.0;LARLAS_2;Larlas;367.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;22.0;BFRENE_2;Beau Frêne;544.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;23.0;CSOLEI_2;Clair Soleil;381.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;42.0;SDSCAS_2;Stade H. Marracq;306.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;25.0;LAYGUE_2;L'Ayguette;195.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;31.0;EGLISE_E;Eglise;461.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;4.0;CRFORG_1;Collège R. Forgues;412.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;26.0;CDESTE_2;Château d'Este;285.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;34.0;BILAA_2;Bilaa;210.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;7.0;VDOSSA_1;Vallée d'Ossau;692.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;30.0;MDLONS_O;Mairie de Lons;484.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;35.0;BENEHA_2;Beneharnum;433.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;8.0;LDBEAR_1;Luy de Béarn;970.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;32.0;PDAMER_E;Prix d'Amérique;384.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;38.0;LJMONO_2;Lycée J. Monod;689.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;10.0;AYGUEL_1;Ayguelongue;347.0
8;1.0;IDRON Mairie > LESCAR Collège S. Palay;37.0;DGARRA_2;D.Garrain;705.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;1.0;IMAI_1/2;IDRON Mairie;0.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;11.0;DDSERS_1;Domaine de Sers;755.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;18.0;VERDQB_B;Pl. Verdun Quai B;247.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;2.0;BELSUN_O;Belsunce;516.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;14.0;DAURAT_1;Daurat;229.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;19.0;PHOEBU_2;Gaston Phoebus;262.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;8.0;BLAURE_E;BIZANOS Laurets;113.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;23.0;CITEAU_N;Cîteaux;324.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;22.0;BFRENE_2;Beau Frêne;544.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;11.0;LOUSSE_1;L'Ousse;368.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;30.0;F-FOIR_1;Pl. du Foirail;499.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;23.0;CSOLEI_2;Clair Soleil;381.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;14.0;F-BABE_1;Barthou - Beaumont;669.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;34.0;EVII_2;Edouard VII;331.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;25.0;LAYGUE_2;L'Ayguette;195.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;15.0;BOSQQB_B;Pl. d'Espagne - Bosquet Quai B;445.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;35.0;NAVARR_2;Navarre;423.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;26.0;CDESTE_2;Château d'Este;285.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;24.0;LAPLAC_2;Laplace;295.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;39.0;SMAGNE_S;St Magne;168.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;29.0;PRES_2;Prés;424.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;27.0;VIGNES_2;Vignes;639.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;41.0;VHUGO_E;Victor Hugo;372.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;30.0;MDLONS_O;Mairie de Lons;484.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;31.0;EGLISE_E;Eglise;461.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;42.0;SPOLYV_2;Salle Polyvalente;309.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;34.0;BILAA_2;Bilaa;210.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;33.0;LCAVET_E;La Cavette;418.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;43.0;BLAURE_O;BIZANOS Laurets;530.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;36.0;BERNAT_2;Bernat;271.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;35.0;BENEHA_2;Beneharnum;433.0
7;1.0;8 Mai 1945 > LESCAR Soleil;2.0;MATTOT_2;Mattots;435.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;37.0;DGARRA_2;D.Garrain;705.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;46.0;PDLZ_1/2;POEY DE LESCAR ZA D817;930.0
7;1.0;8 Mai 1945 > LESCAR Soleil;7.0;POUSSI_1;Poussinière;394.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;40.0;PDANIE_2;Pic d'Anie;726.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;1.0;LCOLLE_1;LESCAR Collège S. Palay;0.0
7;1.0;8 Mai 1945 > LESCAR Soleil;11.0;BICHES_1;Biches;459.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;42.0;PDGER_2;Pic du Ger;322.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;2.0;BGRAND_O;Bie Grande;385.0
7;1.0;8 Mai 1945 > LESCAR Soleil;14.0;SLOUIS_1;St Louis;346.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;44.0;COTEAU_2;Coteau;336.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;3.0;CHARRE_S;Charreteur;601.0
7;1.0;8 Mai 1945 > LESCAR Soleil;16.0;PLACET_1;Placette;245.0
8;1.0;IDRON Mairie > POEY-DE-LESCAR ZA D817;45.0;PBOURG_2;Poey Bourg;636.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;7.0;DGARRA_1;D.Garrain;746.0
7;1.0;8 Mai 1945 > LESCAR Soleil;17.0;BELSUN_E;Belsunce;488.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;4.0;SATAO_O;Satao;401.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;9.0;BENEHA_1;Beneharnum;324.0
7;1.0;8 Mai 1945 > LESCAR Soleil;18.0;IMAIRI_1;IDRON Mairie;553.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;5.0;SCATHE_O;Ste Catherine;248.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;15.0;MDLONS_E;Mairie de Lons;460.0
7;1.0;8 Mai 1945 > LESCAR Soleil;21.0;BBSOLE_1;BIZANOS Beau Soleil;679.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;11.0;LCAVET_O;La Cavette;221.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;23.0;BFRENE_1;Beau Frêne;362.0
7;1.0;8 Mai 1945 > LESCAR Soleil;23.0;PANORA_N;Panorama;118.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;16.0;PRES_1;Prés;235.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;24.0;PDEXPO_1;Parc des Expos;527.0
7;1.0;8 Mai 1945 > LESCAR Soleil;30.0;SURSUL_1;Ste Ursule;275.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;17.0;SULLY_1;Sully;507.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;25.0;PLAWRE_1;Parc Lawrance;169.0
7;1.0;8 Mai 1945 > LESCAR Soleil;32.0;LSCRIC_1;Lycée St Cricq;400.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;18.0;VIGNES_1;Vignes;213.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;27.0;VERDQA_A;Pl. Verdun Quai A;317.0
7;1.0;8 Mai 1945 > LESCAR Soleil;35.0;LHMEDI_N;Les Halles Médiathèque;448.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;22.0;CSOLEI_1;Clair Soleil;301.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;30.0;BOSQQH_H;PAU Bosquet Quai H;313.0
7;1.0;8 Mai 1945 > LESCAR Soleil;36.0;PDJUST_2;Palais de Justice;369.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;34.0;LOUSSE_2;L'Ousse;246.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;31.0;F-BABE_2;Barthou - Beaumont;243.0
7;1.0;8 Mai 1945 > LESCAR Soleil;37.0;VERDQE_E;Pl. Verdun Quai E;294.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;36.0;SPOLYV_2;Salle Polyvalente;343.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;37.0;BLAURE_O;BIZANOS Laurets;530.0
7;1.0;8 Mai 1945 > LESCAR Soleil;43.0;MARNIE_4;Marnières;373.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;41.0;CBEAUM_2;Clos Beaumont;337.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;40.0;HONDAI_2;Hondaïs;956.0
7;1.0;8 Mai 1945 > LESCAR Soleil;44.0;LASSAN_2;Lassansaa;198.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;42.0;CDIDRO_2;Château d'Idron;724.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;43.0;BELSUN_E;Belsunce;330.0
7;1.0;8 Mai 1945 > LESCAR Soleil;47.0;CHAMPS_2;Champs;330.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;2.0;PBOURG_1;Poey Bourg;729.0
8;2.0;LESCAR Collège S. Palay > IDRON Mairie;44.0;IMAI_1/2;IDRON Mairie;427.0
7;1.0;8 Mai 1945 > LESCAR Soleil;50.0;ENTREP_2;Entrepreneurs;449.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;8.0;LCOLLE_1;LESCAR Collège S. Palay;272.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;3.0;COTEAU_1;Coteau;599.0
7;1.0;8 Mai 1945 > LESCAR Soleil;52.0;DASSAU_2;Dassault;253.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;10.0;CHARRE_S;Charreteur;601.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;4.0;CARIBE_1;Caribette;354.0
7;1.0;8 Mai 1945 > LESCAR Soleil;53.0;LAVOIS_2;Lavoisier;516.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;12.0;SCATHE_O;Ste Catherine;248.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;5.0;PDGER_1;Pic du Ger;1179.0
7;1.0;8 Mai 1945 > LESCAR Soleil;55.0;LEBON_2;Lebon;268.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;13.0;LJMONO_1;Lycée J. Monod;531.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;7.0;PDANIE_1;Pic d'Anie;372.0
7;1.0;8 Mai 1945 > LESCAR Soleil;58.0;LSOLQE_E;LESCAR Soleil;348.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;14.0;DGARRA_1;D.Garrain;746.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;9.0;BGRAND_O;Bie Grande;385.0
7;1.0;8 Mai 1945 > LESCAR Soleil;59.0;LSOLQO_O;LESCAR Soleil;168.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;16.0;BENEHA_1;Beneharnum;324.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;11.0;SATAO_O;Satao;401.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;2.0;SDARTI_1;Stade d'Artigueloutan;382.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;20.0;EGLISE_O;Eglise;715.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;15.0;BERNAT_1;Bernat;649.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;5.0;MDOUSS_1;Mairie d'Ousse;537.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;21.0;LARROU_S;Larrouy;320.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;17.0;BILAA_1;Bilaa;391.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;6.0;BARTH_1;Barthouil;725.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;22.0;MDLONS_E;Mairie de Lons;460.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;18.0;LCAVET_O;La Cavette;221.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;7.0;BICHES_1;Biches;459.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;24.0;SULLY_1;Sully;507.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;19.0;PDAMER_O;Prix d'Amérique;413.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;8.0;EDLEE_1;Ecole de Lée;891.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;27.0;LAYGUE_1;L'Ayguette;342.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;23.0;PRES_1;Prés;235.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;11.0;CAMARD_1;Camardoun;276.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;32.0;PLAWRE_1;Parc Lawrance;169.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;29.0;CSOLEI_1;Clair Soleil;301.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;12.0;PLACET_1;Placette;245.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;35.0;PDJUST_1;Palais de Justice;255.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;30.0;BFRENE_1;Beau Frêne;362.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;16.0;SJEAN_1;St Jean;373.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;39.0;GINOT_2;Ginot;653.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;31.0;PDEXPO_1;Parc des Expos;527.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;18.0;EALPHA_E;ESAT Alpha;238.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;47.0;HONDAI_2;Hondaïs;956.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;33.0;PHOEBU_1;Gaston Phoebus;294.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;22.0;SAPINS_O;Sapins;389.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;48.0;CBEAUM_2;Clos Beaumont;337.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;34.0;VERDQA_A;Pl. Verdun Quai A;317.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;24.0;TREVIL_1;Tréville;529.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;51.0;IMAI_1/2;IDRON Mairie;427.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;37.0;BOSQQH_H;PAU Bosquet Quai H;313.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;27.0;TRESPO_1;Trespoey;366.0
9;1.0;MORLAAS Communauté de Communes > PAU Rives du Gave;1.0;MCDC_1/2;MORLAÀS Communauté de Communes;0.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;41.0;LOUSSE_2;L'Ousse;246.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;28.0;LSCRIC_1;Lycée St Cricq;400.0
9;1.0;MORLAAS Communauté de Communes > PAU Rives du Gave;5.0;MDMORL_1;Mairie de Morlaàs;454.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;43.0;SPOLYV_2;Salle Polyvalente;343.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;34.0;CIMETI_2;Cimetière;447.0
9;1.0;MORLAAS Communauté de Communes > PAU Rives du Gave;17.0;PPDPQC_C;PAU Porte des Pyrénées Quai C;439.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;44.0;BLAURE_O;BIZANOS Laurets;530.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;37.0;BOURBO_2;Bourbon;240.0
9;1.0;MORLAAS Communauté de Communes > PAU Rives du Gave;18.0;CHP_N;CHP;425.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;45.0;RDIDRO_2;Route d'Idron;160.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;39.0;MARNIE_4;Marnières;373.0
9;2.0;PAU Rives du Gave > MORLAAS Communauté de Communes;6.0;F-BABE_1;Barthou - Beaumont;364.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;46.0;HAMEAU_2;Hameau;232.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;40.0;LASSAN_2;Lassansaa;198.0
9;2.0;PAU Rives du Gave > MORLAAS Communauté de Communes;17.0;LALAND_2;La Lande;924.0
8;2.0;POEY-DE-LESCAR ZA D817 > IDRON Mairie;49.0;CDIDRO_2;Château d'Idron;724.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;41.0;MDBILL_O;Mairie de Billère;244.0
9;2.0;PAU Rives du Gave > MORLAAS Communauté de Communes;19.0;NOBEL_2;Nobel;388.0
9;1.0;MORLAAS Communauté de Communes > PAU Rives du Gave;2.0;BARATN_1;Baratnau;1036.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;44.0;PLAINE_2;Plaine;289.0
9;2.0;PAU Rives du Gave > MORLAAS Communauté de Communes;21.0;CACHAL_2;Cachalat;1125.0
9;1.0;MORLAAS Communauté de Communes > PAU Rives du Gave;6.0;PISCIN_1;Piscine;476.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;45.0;LINIER_2;Linière;236.0
9;2.0;PAU Rives du Gave > MORLAAS Communauté de Communes;22.0;LHOTEL_2;LP Haute-Vue;2251.0
